Scott,AR,48.84,36.2,92731,12566,21.1,10.9,50.81,11.6,97
Sebastian,AR,41.78,33.7,110853,18033,15.4,13.35,52.14,189.2,626
Sevier,AR,51.05,34.9,96997,14560,19.4,13.04,50.4,25.4,296
Sharp,AR,52.27,44.8,114766,12013,20.6,13.32,52.25,24.8,145
Stone,AR,52.03,39.2,62499,12046,23.9,9.64,50.93,16.8,112
Union,AR,47.29,34.5,113471,17626,19.2,11.76,52.7,44.9,475
Van Buren,AR,51.88,43.2,86181,12238,21.6,14.25,50.76,20,197
Washington,AR,46.01,30.8,97273,16784,11.7,10.15,50.51,126.4,429
White,AR,48.67,33.1,90898,13283,17.9,9.43,51.36,55,290
Woodruff,AR,74.08,34.3,98385,14331,31.8,9.55,52.87,15.7,59
Yell,AR,54.49,35.6,108440,14876,16.9,11.31,51.28,19.5,317
Alameda,CA,63.04,32.7,76414,23707,12.3,11.3,55.39,1774.1,837
Amador,CA,34.25,37.9,92568,16612,9.5,10.46,44.53,53.8,243
Butte,CA,38.22,33.8,61001,16197,19,10.72,51.18,115.5,538
Calaveras,CA,35.25,39.5,48330,16325,11.5,9.9,50.29,34.6,351
Colusa,CA,31.91,32.1,107363,19360,17.4,9.31,48.74,14.7,389
Contra Costa,CA,50.93,34.1,106163,27158,9,11.37,50.99,1166,606
Del Norte,CA,38.91,32.3,36592,12792,19.9,10.38,44.54,26.4,371
El Dorado,CA,32.38,35.3,40039,20424,8.5,10.21,49.92,80.3,379
Fresno,CA,42.17,29.3,59965,16854,28.1,8.47,50.38,118.4,910
Glenn,CA,30.24,32.6,82020,14674,19.5,10.49,49.89,19.4,380
Humboldt,CA,48.07,33.1,66404,16831,17.3,12.57,50.29,34.1,534
Imperial,CA,43.88,28.8,59797,13987,28.6,6.64,49.98,30.8,690
Inyo,CA,31.84,39,73921,18100,12.8,15.95,51.03,1.8,322
Kern,CA,33.75,29.7,44347,15963,21.8,8.55,49.4,72.2,648
Kings,CA,38.91,28.1,43635,13191,22.5,6.83,45.78,76.9,437
Lassen,CA,32.7,31.9,47613,14409,15.6,12.58,42.19,6.1,221
Los Angeles,CA,52.54,30.7,88044,21577,23.8,9.66,50.14,2233.5,762
Madera,CA,35.92,31.9,38324,15024,20.9,7.59,48.52,46.2,521
Marin,CA,58.27,38.1,105449,37387,6.4,14.66,50.2,449.2,398
Mendocino,CA,50.21,35.6,79473,17246,16.8,12.32,50.02,23.3,471
Merced,CA,40.85,27.9,42895,14962,24.5,7.67,49.21,98.1,509
Modoc,CA,32.19,37.2,74228,14472,18.2,11.78,48.96,2.5,231
Monterey,CA,47.01,29.6,64775,21143,16.1,9.85,48.48,111,533
Napa,CA,45.3,36.4,93299,24461,9.2,13.87,50.69,150.9,480
Nevada,CA,34.92,39.3,72156,18855,9.5,10.14,50.77,87,334
Orange,CA,31.56,31.4,82212,24996,12.6,10.7,52.17,3147.8,571
Placer,CA,33.69,35.1,73442,22748,8.5,9.72,50.56,133.2,463
Plumas,CA,37.61,39,75850,17503,11.5,14.41,50.12,8.1,559
Riverside,CA,38.64,31.5,41389,17969,15,7.31,50.11,179,738
Sacramento,CA,43.56,31.9,62605,20397,16.3,11.14,51.2,1130.3,763
