"submission_date","state","new_case","new_death"
"09/07/2021","ID",638,11
"12/15/2021","CT",1723,2
"01/13/2022","CA",167819,121
"09/30/2021","WI",2709,20
"11/07/2021","AL",217,15
"10/28/2021","MI",5012,30
"11/21/2021","VT",450,1
"01/20/2022","NE",5252,7
"12/18/2021","MO",3751,9
"02/12/2022","AL",876,0
"01/12/2022","MT",1837,6
"12/18/2021","ME",14,0
"10/29/2021","VT",237,3
"09/05/2021","VT",101,1
"09/16/2021","WI",3980,16
"09/25/2021","VI",11,0
"10/22/2021","MS",389,5
"01/04/2022","VT",1476,1
"10/26/2021","MT",1123,46
"11/07/2021","IN",0,0
"10/23/2021","MI",0,0
"02/05/2022","MT",0,0
"09/08/2021","MT",1047,14
"10/14/2021","MT",1287,12
"02/17/2022","NH",647,0
"10/07/2021","NE",826,3
"09/26/2021","MT",417,9
"11/26/2021","IN",2528,0
"10/30/2021","NC",1820,28
"11/28/2021","NE",0,0
"01/01/2022","CT",0,0
"12/14/2021","MS",408,9
"01/25/2022","WI",6911,102
"09/13/2021","MD",1103,16
"12/30/2021","NE",2575,3
"02/02/2022","IN",6913,111
"12/21/2021","IN",3700,119
"11/25/2021","ND",174,0
"02/06/2022","CT",0,0
"09/18/2021","IL",2805,33
"12/02/2021","IN",5546,31
"01/17/2022","GU",637,0
"01/27/2022","MO",10089,10
"10/29/2021","MD",911,10
"09/20/2021","GU",199,0
"11/10/2021","WA",1990,0
"09/30/2021","MT",1209,8
"09/25/2021","IL",2223,29
"12/06/2021","NH",3645,5
"11/20/2021","VT",403,1
"10/18/2021","MD",714,12
"02/03/2022","CT",2445,0
"11/22/2021","DE",240,0
"09/29/2021","AL",1694,55
"02/09/2022","IN",0,0
"11/08/2021","ME",938,8
"11/25/2021","WI",4309,18
"10/16/2021","WI",2545,10
"09/26/2021","MI",2905,6
"10/07/2021","VI",31,0
"11/24/2021","DE",288,2
"12/11/2021","DE",725,7
"10/13/2021","MI",6043,43
"11/24/2021","WA",1106,31
"01/03/2022","ME",1481,25
"01/27/2022","NE",2794,9
"02/07/2022","MO",2002,2
"01/13/2022","ND",2813,3
"12/11/2021","ME",69,1
"11/21/2021","ID",0,0
"12/22/2021","DE",673,0
"01/22/2022","NH",0,0
"12/10/2021","VT",683,2
"01/05/2022","CT",10344,7
"01/03/2022","CT",23678,50
"09/03/2021","CA",11742,119
"11/30/2021","DE",286,5
"11/26/2021","WI",753,4
"01/26/2022","CA",87218,198
"09/15/2021","MS",2594,27
"12/24/2021","NV",0,0
"10/29/2021","WA",2596,43
"09/08/2021","NE",955,0
"01/06/2022","WA",14944,65
"12/24/2021","ID",0,0
"10/30/2021","CA",0,0
"09/10/2021","VI",32,1
"10/27/2021","IN",2046,65
"02/03/2022","IN",6614,68
"12/05/2021","CA",0,0
"11/19/2021","WA",1636,24
"01/28/2022","ME",1266,4
"12/19/2021","NE",0,0
"01/10/2022","IL",77833,256
"11/20/2021","GU",4,0
"12/16/2021","MO",4312,8
"11/14/2021","AL",224,7
"02/18/2022","VT",0,0
"09/24/2021","MI",3159,23
"01/28/2022","ID",3653,35
"09/04/2021","VI",53,0
"01/18/2022","ME",1548,30
"02/07/2022","ME",0,0
"09/14/2021","NV",1361,35
"10/14/2021","ID",1935,30
"11/10/2021","ME",1,0
"12/11/2021","MS",0,0
"10/31/2021","DE",248,0
"10/08/2021","IL",2744,41
"12/20/2021","WA",5502,21
"02/09/2022","CT",1048,56
"02/11/2022","WI",2434,34
"01/05/2022","GU",263,0
"11/17/2021","NH",1066,9
"11/21/2021","IN",0,0
"02/07/2022","CT",2138,0
"11/25/2021","WA",983,0
"11/03/2021","MI",6882,23
"09/15/2021","NH",544,4
"01/04/2022","ME",1326,26
"11/11/2021","IL",0,0
"12/17/2021","NC",4046,24
"11/27/2021","MD",691,7
"12/04/2021","NH",0,0
"10/10/2021","WI",1917,15
"01/27/2022","CT",3036,7
"12/30/2021","AL",8649,9
"10/24/2021","MO",1118,-2
"12/26/2021","ND",69,0
"12/08/2021","ND",388,5
"09/03/2021","ND",452,0
"10/15/2021","CA",6188,140
"09/07/2021","CA",7523,40
"10/04/2021","IL",2381,25
"10/27/2021","CA",4378,113
"02/08/2022","NV",1706,50
"09/26/2021","MO",859,0
"01/03/2022","WI",11692,12
"10/29/2021","CT",424,13
"09/11/2021","GU",85,0
"09/26/2021","NE",591,3
"09/23/2021","WI",3472,20
"09/08/2021","ME",1,0
"12/03/2021","ME",871,3
"09/17/2021","ID",1730,13
"12/27/2021","NV",4099,3
"10/02/2021","CA",0,0
"12/30/2021","CA",49598,109
"02/09/2022","WA",8244,95
"01/14/2022","MI",25560,47
"12/09/2021","CT",2679,0
"09/28/2021","MS",1098,28
"12/30/2021","MD",15452,32
"10/27/2021","VI",18,0
"09/27/2021","DE",424,0
"10/24/2021","MS",0,0
"11/13/2021","IL",0,0
"09/10/2021","ID",1574,13
"02/12/2022","MI",0,0
"01/15/2022","NV",0,0
"02/11/2022","ME",1263,4
"02/11/2022","MT",1219,6
"10/05/2021","MT",1260,26
"01/30/2022","CT",0,0
"10/09/2021","IL",1965,19
"01/08/2022","CT",0,0
"01/18/2022","MD",3434,44
"02/12/2022","GU",345,0
"10/16/2021","NE",152,7
"01/15/2022","VT",0,0
"12/18/2021","AL",529,12
"11/11/2021","AL",536,9
"10/09/2021","IN",1573,79
"11/12/2021","MO",1744,7
"11/14/2021","MD",819,7
"10/31/2021","MT",0,0
"12/04/2021","GU",1,0
"12/01/2021","WA",2317,42
"09/11/2021","MD",1376,15
"11/02/2021","MT",1138,14
"11/04/2021","CT",431,0
"10/06/2021","ME",1217,21
"02/09/2022","NE",655,3
"09/12/2021","GU",174,8
"11/26/2021","DE",510,0
"12/28/2021","NV",1805,25
"10/12/2021","NH",1384,11
"09/22/2021","VT",115,1
"10/05/2021","MI",4352,35
"02/18/2022","NE",0,0
"01/14/2022","AL",12469,30
"01/26/2022","MS",6596,19
"10/08/2021","WI",3564,17
"01/25/2022","MO",9390,32
"11/12/2021","WI",3752,22
"10/31/2021","WA",0,0
"12/16/2021","CT",2085,0
"12/27/2021","WI",5550,12
"02/04/2022","NE",0,0
"02/01/2022","NC",9330,33
"09/08/2021","MD",701,11
"10/29/2021","CA",7098,111
"01/15/2022","MS",0,0
"12/15/2021","VI",6,0
"01/28/2022","VT",0,0
"11/12/2021","AL",720,12
"12/24/2021","WI",4951,59
"12/15/2021","WI",5228,61
"09/25/2021","MO",1110,1
"02/09/2022","AL",2727,4
"09/14/2021","DE",249,2
"09/12/2021","WA",3142,21
"12/05/2021","GU",22,1
"11/07/2021","VI",0,0
"11/16/2021","NV",919,28
"10/27/2021","MO",2467,27
"09/10/2021","CT",625,8
"11/21/2021","GU",0,0
"12/28/2021","MT",409,5
"10/09/2021","ID",790,5
"01/29/2022","GU",364,0
"01/15/2022","IL",0,0
"09/06/2021","ME",2,1
"01/30/2022","DE",679,0
"12/21/2021","CT",6000,34
"12/25/2021","MT",0,0
"01/01/2022","NH",0,0
"01/22/2022","WI",0,0
"11/02/2021","NH",381,4
"11/18/2021","AL",768,7
"12/18/2021","MI",0,-1
"01/13/2022","WI",17008,32
"11/06/2021","AL",262,18
"10/05/2021","CA",3752,-12
"12/08/2021","NE",1190,10
"09/30/2021","CT",165,0
"12/01/2021","CA",3654,110
"10/21/2021","DE",379,4
"10/15/2021","MD",1068,13
"09/24/2021","NV",1072,32
"12/08/2021","MD",1207,9
"10/29/2021","GU",36,0
"12/10/2021","MI",6394,64
"01/24/2022","MT",5001,9
"11/07/2021","MO",666,0
"01/23/2022","MS",0,0
"12/10/2021","ID",371,15
"11/28/2021","WI",0,0
"10/05/2021","WI",4799,26
"09/06/2021","CT",402,0
"10/22/2021","IN",1884,22
"02/13/2022","WA",0,0
"11/03/2021","NE",912,1
"09/08/2021","ND",615,4
"09/16/2021","VT",313,1
"11/27/2021","VT",93,0
"12/11/2021","MD",1240,12
"02/15/2022","CT",1284,60
"11/15/2021","VI",13,0
"12/06/2021","ME",980,12
"01/05/2022","IL",32279,104
"12/18/2021","MS",0,0
"09/16/2021","NC",7903,73
"11/24/2021","NV",713,19
"12/14/2021","NV",853,26
"10/13/2021","NH",544,2
"11/13/2021","NV",0,0
"11/20/2021","CT",0,0
"10/07/2021","MT",1293,9
"02/18/2022","IN",1508,103
"10/12/2021","MD",411,16
"02/18/2022","NC",4871,87
"01/23/2022","WI",0,0
"11/26/2021","ND",369,3
"01/25/2022","MT",2872,2
"09/08/2021","DE",238,3
"12/02/2021","MD",1828,7
"01/03/2022","IL",57734,195
"01/06/2022","NH",3879,4
"11/09/2021","WI",3914,26
"11/22/2021","ID",632,16
"09/01/2021","NC",7474,81
"02/13/2022","IN",0,0
"09/24/2021","MD",1363,9
